num_bids,shipping_expenses,timer,winner_modality,winner_num_bids,item_category_encoded,log_bid,log_price,log_winner_expenses
67,6.9,10,1,17,6,0.5247285289349821,3.433664571799657,2.3135250330323798
529,1.0,8,1,241,6,1.840549633397487,5.303304908059076,3.506457892319648
419,1.0,8,1,19,3,1.6486586255873816,2.3978952727983707,1.4973884086254776
325,1.0,8,0,129,3,1.449269160281279,4.262539022051294,2.9322598505984176
39,1.0,8,1,19,3,0.3435897043900769,2.3978952727983707,1.4973884086254776
95,6.9,8,0,4,6,0.6729444732424258,3.039749158970765,2.130609828254235
84,5.9,10,0,39,6,0.6151856390902335,3.039749158970765,2.482403519569882
49,7.9,10,1,25,6,0.4054651081081644,2.9391619220655967,2.4973291697865574
16,1.0,8,0,7,3,0.16551443847757338,2.3978952727983707,1.068153081183401
329,1.0,10,1,12,0,1.4586150226995167,2.3978952727983707,1.269760544863939
1477,1.0,8,1,39,3,2.7587433154177283,3.9318256327243257,1.9558604799084813
1723,1.0,10,1,22,3,2.9041650800285006,4.262539022051294,1.5810384379124023
30,1.0,8,1,15,3,0.27002713721306015,2.70805020110221,1.3737155789130306
1259,1.0,8,1,412,3,2.6100697927420065,3.58351893845611,4.017463517886143
58,1.0,10,1,29,3,0.4700036292457355,3.367295829986474,1.7526720805200082
1068,1.0,8,1,520,0,2.458733775483977,5.5254529391317835,4.242764567340374
75,5.9,10,0,16,1,0.5653138090500605,2.5572273113676265,2.194999882314108
85,1.0,8,1,39,3,0.6205764877251099,3.5832411220909393,1.9558604799084813
2022,1.0,8,1,119,3,3.055886196373738,4.262539022051294,2.8604851241459652
16,1.0,10,0,3,0,0.16551443847757338,1.791759469228055,0.8712933659434192
121,1.0,8,1,59,3,0.7975071958841881,2.3978952727983707,2.269028309465203
167,1.0,5,0,53,3,0.9858167945227653,1.791759469228055,2.1849270495258133
145,1.0,10,0,38,0,0.9001613499442714,2.3978952727983707,1.937301774518713
104,1.0,5,0,12,3,0.7178397931503169,1.791759469228055,1.269760544863939
570,1.0,8,0,17,6,1.9035989509835904,4.605170185988092,1.43746264769429
134,1.0,8,1,35,3,0.8544153281560676,3.044522437723423,1.8794650496471605
406,1.0,6,1,75,0,1.623340817603092,4.61512051684126,2.463853240590168
245,1.0,8,1,30,3,1.2412685890696329,3.713572066704308,1.7749523509116738
665,0.0,8,1,54,3,2.0360119837525,3.367295829986474,2.0819384218784234
11,1.0,10,0,4,0,0.11332868530700317,2.3978952727983707,0.9242589015233319
97,1.0,10,1,45,0,0.6830968447064438,2.3978952727983707,2.0605135317943173
182,1.0,8,1,66,3,1.0402767116551463,3.58351893845611,2.3589654264301534
319,0.0,5,0,139,3,1.4350845252893227,2.70805020110221,2.9481164196123277
106,1.0,10,0,14,3,0.7275486072772778,4.262539022051294,1.340250422618484
644,1.0,8,1,47,0,2.0082140323914683,4.61512051684126,2.093097868127322
396,1.0,12,1,62,3,1.6034198401085373,3.58351893845611,2.3085671646715933
433,1.0,10,0,24,3,1.6752256529721035,4.2626798770413155,1.6331544390514163
1396,1.0,8,1,633,0,2.706048198431537,6.398594934535208,4.434263234009391
341,1.0,8,1,93,3,1.4861396960896067,2.70805020110221,2.645465325910589
156,7.99,10,1,3,6,0.9439058989071285,3.173878458937465,2.238579763018133
218,1.0,10,1,94,0,1.1600209167967532,1.791759469228055,2.6546494243750947
358,1.0,10,0,19,3,1.5238800240724537,4.262539022051294,1.4973884086254776
83,1.0,10,1,37,3,0.6097655716208943,2.70805020110221,1.9183921201614211
993,1.0,8,1,11,3,2.392425796993835,3.4339872044851463,1.2325602611778486
70,1.0,8,1,25,3,0.5364933705145685,2.3978952727983707,1.6582280766035324
64,1.0,5,0,19,3,0.5007752879124893,1.791759469228055,1.4973884086254776
289,1.0,10,0,17,3,1.3609765531356006,4.262539022051294,1.43746264769429
652,1.0,8,1,315,6,2.018895041811802,5.707110264748875,3.7600366484302645
120,4.99,10,0,33,6,0.7929925155296614,3.214867803470662,2.330200260027019
1163,7.99,8,1,575,6,2.5368663887187113,5.5053315359323625,4.4277167605909975
1271,1.0,8,1,612,0,2.6188546222977394,6.398594934535208,4.401338945706255
491,7.99,8,1,78,6,1.7783364488959144,3.6082115510464816,2.951257783452162
486,1.0,8,0,16,3,1.7698546338400052,4.61512051684126,1.4060969884160703
75,1.0,5,0,28,3,0.5653138090500605,1.791759469228055,1.7298840655099676
18,1.0,8,1,9,3,0.173953307123438,2.3978952727983707,1.1537315878891892
