num_bids,shipping_expenses,timer,winner_modality,winner_num_bids,item_category_encoded,log_bid,log_price,log_winner_expenses,additional_cost_to_win
299,1.0,7,0,45,0,1.3862943611198906,3.044522437723423,2.0605135317943173,3.8500000000000005
126,1.0,5,0,53,3,0.8197798314933114,1.791759469228055,2.1849270495258133,6.620000000000001
370,1.0,15,1,10,0,1.5496879080283263,4.6150215020384655,1.1939224684724346,-1.4100000000000001
10,4.9,10,0,5,6,0.10436001532424277,3.254242968705492,1.879465049647161,5.440000000000002
509,1.0,10,1,191,3,1.8082887711792655,2.70805020110221,3.2895206644375325,20.729999999999997
110,1.0,10,1,52,0,0.7466879474879752,1.791759469228055,2.1701959049483,6.6499999999999995
179,3.99,10,0,40,6,1.0296194171811583,3.5234150143864045,2.321406847234633,7.39
334,1.0,5,0,113,3,1.4701758451005928,1.791759469228055,2.8148097376737438,12.34
14731,4.99,10,1,36,6,4.999372101817545,6.345636360828596,2.367436065313662,-137.65
32,1.0,10,1,15,0,0.2851789422336624,1.791759469228055,1.3737155789130306,2.62
140,0.0,8,1,64,3,0.8796267475025636,2.70805020110221,2.2321626286975,6.91
22,1.0,10,1,10,3,0.20701416938432612,2.0794415416798357,1.1939224684724346,2.07
1035,1.0,8,1,23,3,2.4300984132930052,4.61512051684126,1.6074359097634274,-6.369999999999999
166,7.99,8,0,15,6,0.9820784724121582,3.32862668882732,2.392425796993835,8.27
4884,4.99,10,1,31,1,3.9090184964078474,5.298317366548036,2.3045830956567186,-39.83
147,1.0,8,0,16,3,0.9082585601768908,2.7073833121145063,1.4060969884160703,1.6
775,1.0,10,1,209,0,2.1701959049483,4.110709916308365,3.37314078387963,20.410000000000004
19,1.0,10,0,8,0,0.1906203596086497,1.791759469228055,1.1118575154181303,1.83
323,7.99,8,1,62,6,1.4445632692438664,3.32862668882732,2.8361502037295256,12.81
1853,1.0,8,0,685,0,2.972975286431375,5.707077041605631,4.511408806173617,71.5
268,1.0,8,1,81,3,1.3056264580524357,2.3978952727983707,2.528125768907977,8.84
240,1.0,8,1,9,3,1.2267122912954254,3.9318256327243257,1.1537315878891892,-0.2400000000000002
267,5.99,10,1,57,6,1.3029127521808397,2.833213344056216,2.667228206581955,10.72
51,1.0,5,0,13,3,0.41871033485818504,1.791759469228055,1.3056264580524357,2.17
43,1.0,7,1,20,0,0.36464311358790924,3.044522437723423,1.5260563034950494,3.16
111,1.0,8,0,35,3,0.7514160886839212,2.3978952727983707,1.8794650496471605,4.43
284,1.0,8,1,66,3,1.3480731482996928,2.772588722239781,2.3589654264301534,6.73
123,5.9,10,1,38,6,0.8064758658669485,3.039749158970765,2.4714836294558595,9.6
22,5.9,8,1,11,1,0.20701416938432612,2.766319109226186,2.1198634561787513,7.1
25,1.0,5,0,13,3,0.23111172096338664,1.791759469228055,1.3056264580524357,2.4299999999999997
252,1.0,8,1,98,3,1.2612978709452054,2.3978952727983707,2.6905648867611904,11.21
118,1.0,8,1,46,3,0.7884573603642702,3.258096538021482,2.0769384114617173,5.78
1157,9.9,8,0,31,2,2.5321082512722946,4.393213824064446,2.703372611551099,2.3499999999999996
733,1.0,8,0,13,3,2.1210632163706555,2.772588722239781,1.3056264580524357,-4.65
545,1.0,10,1,187,0,1.8656293177945105,2.3978952727983707,3.269949095052201,19.849999999999998
186,1.0,5,0,38,3,1.0543120297715298,1.791759469228055,1.937301774518713,4.07
232,1.0,10,0,80,3,1.2029723039923526,3.58351893845611,2.517696472610991,9.07
353,1.0,8,0,18,3,1.5129270120532565,2.3978952727983707,1.4678743481123135,-0.20000000000000018
280,1.0,8,1,35,3,1.3376291891386096,2.70805020110221,1.8794650496471605,2.7399999999999998
48,6.9,8,1,24,6,0.3987761199573678,3.039749158970765,2.3997118037247684,9.53
507,1.0,8,1,70,3,1.8050046959780757,4.110873864173311,2.4069451083182885,5.02
1390,4.99,8,1,667,6,2.702032128776647,5.44198471636045,4.529368472571809,77.79
576,1.0,8,1,104,6,1.9125010869241836,4.025173103360802,2.7421295147550726,8.75
161,1.0,10,0,12,3,0.9669838461896731,3.5832411220909393,1.269760544863939,0.9300000000000002
837,1.0,8,1,11,3,2.238579763018133,5.017279836814924,1.2325602611778486,-5.950000000000001
280,3.99,10,1,66,6,1.3376291891386096,3.4011973816621555,2.6078614738467776,9.76
65,1.0,10,1,25,0,0.5068176023684519,1.791759469228055,1.6582280766035324,3.59
918,1.0,8,1,420,6,2.321406847234633,5.398117451625214,4.036008985209137,46.410000000000004
106,1.0,5,0,6,3,0.7275486072772778,1.791759469228055,1.0224509277025458,0.71
63,1.0,10,1,23,0,0.49469624183610705,1.791759469228055,1.6074359097634274,3.35
84,1.0,10,0,15,3,0.6151856390902335,3.5832411220909393,1.3737155789130306,2.1
263,4.99,8,0,13,1,1.2919836816486494,3.711130063048756,2.038619547159581,4.039999999999999
45,1.0,8,1,22,3,0.3784364357202451,2.7073833121145063,1.5810384379124023,3.4
198,1.0,10,1,78,0,1.095273387402595,2.3978952727983707,2.4965057856313524,9.15
12,1.0,10,1,2,3,0.12221763272424921,2.3978952727983707,0.8153648132841945,1.13
1224,1.0,8,1,31,3,2.583997552432231,4.262539022051294,1.7967470107390942,-7.22
